timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1540109829223567,13,6,-4,-38,12,24,-5,-13
1540109829243513,-24,4,-4,-13,-19,-20,-6,-9
1540109829243513,-5,-10,8,-15,-6,-4,-14,-4
1540109829245508,-16,-21,-41,-12,0,10,13,18
1540109829245508,29,33,18,18,17,8,8,-19
1540109829257473,14,-7,-4,-4,-6,-5,-1,5
1540109829257473,-85,-20,10,36,12,-1,-19,7
1540109829264456,-1,-3,17,-31,-17,-4,28,-10
1540109829264456,15,41,7,18,11,4,-38,-7
1540109829280413,-19,-29,-4,-13,1,8,61,27
1540109829280413,1,12,5,7,-2,2,5,5
1540109829281410,2,17,27,12,-8,-13,-25,-19
1540109829281410,14,-16,-26,-17,-20,-8,19,0
1540109829302353,-7,31,16,8,17,19,3,1
1540109829302353,44,-12,-4,14,4,12,12,39
1540109829310333,0,-9,4,-16,7,1,-8,-21
1540109829310333,-16,-3,0,14,-27,-11,-3,17
1540109829318441,3,30,3,-14,-19,-9,-13,-19
1540109829318441,58,-30,-14,-16,-4,2,-7,1
1540109829324515,5,7,-3,11,9,8,27,30
1540109829324515,-25,-29,7,19,11,-2,-11,-36
1540109829340251,42,3,-11,-26,-8,-5,-1,46
1540109829340251,-69,51,10,2,-2,-3,-24,-22
1540109829341249,36,-39,5,26,10,6,12,30
1540109829341249,25,-10,-5,-19,-7,-12,10,-14
1540109829366185,-1,-5,4,14,6,11,25,-5
1540109829366185,-23,0,-8,-10,-6,-10,-1,1
1540109829366185,60,1,5,5,-2,-2,-3,2
1540109829366185,-41,-1,15,8,3,-5,-9,-2
1540109829377153,2,7,-27,-28,-10,-8,-9,0
1540109829377153,-8,-14,31,35,18,-2,-6,-28
1540109829386130,-19,-2,-22,-29,-12,-8,-10,24
1540109829386130,4,13,-6,-11,9,3,19,6
1540109829400115,23,-20,-9,1,-11,-32,-28,4
1540109829400115,-24,-7,-7,1,1,-12,24,4
1540109829401122,-11,-28,-16,-10,-11,-29,-7,6
1540109829401122,-15,-9,-9,-10,-11,-33,-27,-24
1540109829425024,17,20,4,15,15,-12,-5,19
1540109829425024,12,5,17,4,5,-7,-9,5
1540109829426021,-50,-16,-26,-1,1,6,8,21
1540109829426021,25,11,-1,0,-8,-2,-29,-14
1540109829437352,-27,-18,0,-1,-33,-21,-8,-25
1540109829437352,38,-16,-1,30,20,16,5,17
1540109829444971,-11,26,12,2,-1,8,-14,-12
1540109829444971,6,-4,0,2,15,17,-30,9
1540109829459934,-3,17,12,25,27,35,9,6
1540109829459934,24,13,2,0,11,23,-15,-2
1540109829460929,27,37,4,13,-2,2,-13,6
1540109829460929,-54,-64,-21,14,-4,-8,-1,15
1540109829482871,15,3,-2,-1,-9,-19,-36,-14
1540109829482871,-7,6,3,1,0,-17,6,8
1540109829483867,-14,-8,-1,-8,-5,-49,-4,-3
1540109829483867,71,4,-2,-3,1,-55,11,1
1540109829496834,-25,-2,-2,-6,-7,-99,6,-3
1540109829496834,-9,-11,-11,-17,-14,-121,19,-9
1540109829504811,102,21,14,-4,3,-117,21,0
1540109829504811,-27,2,12,-3,3,-97,26,-1
1540109829520769,-8,6,8,-22,2,-37,21,-38
1540109829520769,-25,1,-22,16,-1,26,21,-29
1540109829520769,24,-5,6,-9,5,48,13,5
1540109829520769,2,5,-16,-1,4,49,29,-7
1540109829542712,2,-13,-10,-36,-13,47,16,-13
1540109829542712,-18,3,-13,1,5,52,5,-20
1540109829543710,-41,2,12,0,8,80,12,-20
1540109829543710,15,6,-4,-11,3,65,8,-5
1540109829557670,-21,-9,-6,-8,-6,56,-8,-15
1540109829557670,16,20,12,-30,-9,73,3,5
1540109829564653,26,3,-21,1,4,60,-9,-1
1540109829564653,-3,5,22,2,4,65,-2,-6
1540109829580611,9,-2,-12,0,1,38,-25,-12
1540109829580611,-12,-12,-15,-19,-11,25,-15,3
1540109829581607,20,-19,13,17,14,47,-3,-9
1540109829581607,-32,14,13,-5,0,32,-11,10
1540109829602549,16,-5,-12,7,7,38,-2,26
1540109829602549,-13,-13,-19,-19,-3,24,-3,-1
1540109829603776,-37,4,-5,-7,-20,-3,-18,-28
1540109829603776,-4,4,2,7,11,10,1,-7
1540109829617512,-5,-23,7,28,14,19,-5,2
1540109829617512,19,-5,5,-10,-1,9,-4,22
1540109829624493,7,47,-5,-15,-17,-12,-13,-5
1540109829624493,-5,-42,-4,6,9,6,8,10
1540109829640451,9,6,18,9,4,-3,-4,-4
1540109829640451,-12,7,1,-7,-9,-14,-2,13
1540109829641447,44,8,-26,-23,-16,-4,-14,-16
1540109829641447,-10,42,21,4,-11,-10,-3,11
1540109829662390,-17,11,33,3,-11,-32,-18,7
1540109829662390,1,3,6,-7,-6,-62,-12,-5
1540109829663525,-30,26,-10,-16,-19,-18,-16,-6
1540109829663525,3,-48,1,10,13,5,36,14
1540109829677579,24,49,6,7,28,115,31,6
1540109829677579,-6,5,9,18,56,-32,1,-1
1540109829684331,2,-28,8,20,19,-38,4,10
1540109829684331,-16,25,-15,-23,-14,-38,-26,-28
1540109829702284,-10,8,-26,6,1,-21,-1,6
1540109829702284,24,-3,5,3,-12,26,9,2
1540109829702284,-33,1,12,-11,-19,-21,-5,-7
1540109829702284,3,5,1,-12,-31,-29,-6,5
1540109829723230,-20,-43,-67,-21,-16,-26,5,17
1540109829723230,23,3,-2,-8,-17,0,0,16
1540109829723230,-39,-4,4,8,9,-8,2,-12
1540109829723230,-5,14,7,0,-4,6,0,-4
1540109829737235,21,18,14,4,11,-7,5,23
1540109829737235,17,-2,-3,0,-5,-14,-13,-8
1540109829745174,-6,-14,-11,0,1,4,10,12
1540109829745174,10,16,15,4,6,9,-4,1
1540109829768107,-2,-22,0,10,12,-9,4,-9
1540109829768107,-8,-27,-2,0,-8,-6,-3,31
1540109829769417,-6,4,7,9,12,21,15,-1
1540109829769417,1,13,-6,8,10,14,5,-17
